alerta_id,producto_id,tipo_alerta,mensaje,prioridad,estado,fecha_generacion,fecha_resolucion,usuario_asignado
1,49,STOCK_BAJO,Stock crítico: Llave mezcladora cocina tiene solo 8 unidades (mínimo: 2),ALTA,ACTIVA,2024-12-10,NULL,jose.hurtarte
2,70,STOCK_BAJO,Stock crítico: Botas seguridad #9 tiene solo 8 unidades (mínimo: 2),ALTA,ACTIVA,2024-12-10,NULL,jose.hurtarte
3,78,STOCK_BAJO,Stock crítico: Reflector LED 50W tiene solo 8 unidades (mínimo: 2),ALTA,ACTIVA,2024-12-09,NULL,jose.hurtarte
4,11,STOCK_BAJO,Stock bajo: Taladro inalámbrico 12V tiene solo 8 unidades (mínimo: 3),MEDIA,ACTIVA,2024-12-09,NULL,supervisor.almacen
5,80,STOCK_BAJO,Stock bajo: Balastro electrónico T8 tiene solo 15 unidades (mínimo: 3),MEDIA,ACTIVA,2024-12-08,NULL,supervisor.almacen
6,13,SIN_MOVIMIENTO,Producto sin ventas por 35 días: Taladro percutor 1/2",MEDIA,ACTIVA,2024-12-07,NULL,gerente.ventas
7,14,SIN_MOVIMIENTO,Producto sin ventas por 42 días: Sierra circular 7-1/4",ALTA,ACTIVA,2024-12-06,NULL,gerente.ventas
8,26,VENCIMIENTO,Producto próximo a vencer: Arandela plana M6 (30 días),BAJA,RESUELTA,2024-12-05,2024-12-08,jose.hurtarte
9,51,STOCK_BAJO,Stock bajo: Pintura látex blanco 1 galón tiene solo 23 unidades,MEDIA,RESUELTA,2024-12-04,2024-12-07,supervisor.almacen
10,3,STOCK_BAJO,Stock bajo: Alicate universal 8" tiene solo 23 unidades,MEDIA,RESUELTA,2024-12-03,2024-12-06,jose.hurtarte
